Year,Sem,Division,Instructor,LoginID,Dept,Num,CourseName,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2020,Fall,Heinz College,"COSTA, DAN",dlcosta,ISM,95737,NOSQL DATABASE MGT,8.7,4.13,4.17,4.35,3.91,4.35,3.91,4.48,3.91,3.91
2020,Spring,Heinz College,"COSTA, DAN",dlcosta,ISM,95737,NOSQL DATABASE MGT,8.27,4.16,4.41,4.36,4.07,4.36,4.13,4.36,4.2,4.31
2020,Summer,Heinz College,"COSTA, DAN",dlcosta,ISM,95737,NOSQL DATABASE MGT,14.92,4.46,4.38,4.46,4.23,4.54,4.62,4.62,4.54,4.31
2020,Spring,Heinz College,"COSTA, DAN",dlcosta,PROJECT,95720,INFO SYSTEMS PROJECT,19,5,5,5,5,5,5,5,5,5
2020,Fall,Heinz College,"CRAWFORD, BRETT",bcrawfor,AEM,93811,PRD PERF ART SEASON,7,4.95,4.1,4.57,4.62,4.9,4.52,5,4.57,4.67
2020,Spring,Heinz College,"CRAWFORD, BRETT",bcrawfor,AEM,93815,AUD ENGAGEMNT & PART,5.79,4.84,3.74,4.58,4.32,4.84,4.68,4.89,4.74,4.63
2020,Spring,Heinz College,"CRAWFORD, BRETT",bcrawfor,AEM,93821,EXT REL: ARTS MKT PR,8.15,4.59,3.56,4.07,3.85,4.67,4.22,4.74,4.37,4.11
2020,Spring,Heinz College,"CRAWFORD, BRETT",bcrawfor,HC,94843,RSH SM ARTS MNG TCH,5.67,4.67,4.11,4.67,4.56,4.75,4.67,5,4.67,4.78
2020,Spring,Heinz College,"CRAWFORD, BRETT",bcrawfor,PROJECT,90739,SYSTMS SYNTHESIS I,13.29,5,4.29,4.57,4.86,5,4.57,5,5,4.71
2020,Spring,Heinz College,"DAUSEY, DAVID",ddausey,PPP,90861,HEALTH POLICY,5.64,4.64,4.5,4.71,4.71,4.5,4.57,4.93,4.64,4.5
2020,Fall,Heinz College,"DAVIS, JOHN",jadavis,ISM,95874,AGILE METHODS,5.41,4.38,4,4.29,4,4.33,3.86,4.59,4,3.91
2020,Spring,Heinz College,"DAVIS, JOHN",jadavis,ISM,95874,AGILE METHODS,5.81,4.53,4.34,4.42,4.27,4.53,4.52,4.73,4.48,4.39
2020,Fall,Heinz College,"DESANTIS, MARK",markd2,ISM,95794,TCH STARTUP MKT DISC,8.6,4.4,4,4,3.8,4.8,4.8,4.8,4.6,4.2
2020,Spring,Heinz College,"DICKINSON, LENA",ldickins,PROJECT,90739,SYSTMS SYNTHESIS I,11,4.14,3.86,4,4,4.29,3.71,4.43,3.71,4
2020,Spring,Heinz College,"DONALDSON, LESLIE",leslied,AEM,93807,MUSEUM OPERATIONS,7,4.92,4.67,4.67,4.67,4.75,4.5,5,4.5,4.17
2020,Fall,Heinz College,"DONALDSON, LESLIE",leslied,AEM,93807,MUSEUM OPERATIONS,7.4,5,5,4.93,5,5,5,5,4.93,4.93
2020,Spring,Heinz College,"DONALDSON, LESLIE",leslied,AEM,93827,EXT REL: FUN INS GIV,6.65,4.9,4.75,4.85,4.55,4.65,4.65,4.8,4.55,4.65
2020,Fall,Heinz College,"DONALDSON, LESLIE",leslied,AEM,93832,ARTS & COMM DEV,8.6,5,4.87,4.87,4.73,4.87,4.8,4.93,4.93,4.87
2020,Spring,Heinz College,"DONALDSON, LESLIE",leslied,AEM,93846,CULTURAL PLCY ADVCY,10.25,5,5,5,5,5,4.75,5,4.75,4.75
2020,Spring,Heinz College,"DONALDSON, LESLIE",leslied,PROJECT,90739,SYSTMS SYNTHESIS I,12.8,4.6,4.6,4.8,3,4.6,4.2,5,4.2,4
2020,Spring,Heinz College,"DOWNING, JANE",jdowning,PPP,90734,URBAN POLICY,8,3.82,3.36,3.64,3.64,4,4.09,4.36,3.18,3.64
2020,Fall,Heinz College,"DWIVEDI, NEELAM",ndwivedi,ISM,95706,OBJ ORIENTED A & D,8,4.71,4.57,4.57,4.86,5,4.86,5,4.71,4.71
2020,Spring,Heinz College,"DWIVEDI, NEELAM",ndwivedi,ISM,95706,OBJ ORIENTED A & D,8.71,4.47,4.53,4.53,4.47,4.47,4.47,4.53,4.47,4.47
2020,Summer,Heinz College,"DWIVEDI, NEELAM",ndwivedi,ISM,95712,OBJ ORIENT PRG JAVA,13.73,3.91,4.45,4.45,4.27,4.18,4.09,4.55,4.09,4
2020,Spring,Heinz College,"DWIVEDI, NEELAM",ndwivedi,ISM,95807,OBJCT-ORNTD PROG MGR,11.5,4.5,4.5,4.67,4.5,4.5,4.67,4.67,4.5,4.33
2020,Spring,Heinz College,"DWIVEDI, NEELAM",ndwivedi,ISM,95829,SOFTWRE DES DTA SCI,9.29,4.57,3.86,4.43,4.29,4.71,4.57,4.71,4.43,4.14
2020,Spring,Heinz College,"EICH, KEITH",kae,PROJECT,93890,CPSTN MNGMNT PRJ II,3.5,5,5,5,4.5,4.5,5,5,5,4.5
2020,Spring,Heinz College,"EMILIO, ALISON",aemilio,PROJECT,93890,CPSTN MNGMNT PRJ II,2,4,3,3,3,3,2,4,3,4
2020,Spring,Heinz College,"ESMAILZADEH, RIAZ",riazesma,ISM,95722,DIGITAL TRANSFORMATN,8.44,3.91,3.79,3.62,3.53,3.82,3.79,4.06,3.56,3.35
2020,Summer,Heinz College,"ESMAILZADEH, RIAZ",riazesma,ISM,95730,E-BUS TECH & MGMT,11,4,3.25,3.5,2.75,3.5,3,4.5,2.75,2.25
2020,Spring,Heinz College,"ESMAILZADEH, RIAZ",riazesma,ISM,95760,DCSN MKG UNCERTAINTY,9.52,4.17,4.17,4.22,3.88,4.12,4.1,4.36,4.07,4.1
2020,Summer,Heinz College,"ESMAILZADEH, RIAZ",riazesma,ISM,95810,BLOCKCHAIN FUNDMNTLS,7.5,5,4.83,5,5,5,5,5,5,5
2020,Summer,Heinz College,"ESMAILZADEH, RIAZ",riazesma,PROJECT,95720,INFO SYSTEMS PROJECT,14.33,3.67,4,3,3,3.33,1.67,4.33,3,1.67
2020,Spring,Heinz College,"FALBO, MARGARET",priselac,PPP,90818,LEAN PER IMP LAB: HC,5,4.43,4.14,4.71,4.71,4.71,4.57,4.43,4.43,4.43
2020,Spring,Heinz College,"FEDER, RICHARD",rfeder,PROJECT,90739,SYSTMS SYNTHESIS I,22,5,4,4,5,5,4.5,4.5,3.5,4.5
2020,Spring,Heinz College,"FILIPIAK, TREVOR",tfilipia,PPP,90885,DATA VISUALIZATION,5.6,4.5,4.1,4.5,3.4,4.6,4.2,4.8,4.3,4.5
2020,Summer,Heinz College,"FITZSIMMONS, REBEKAH",rfitzsim,ISM,95717,WRTG INF SYS MGT,8,4.75,4.5,4.5,4.75,4.5,4.5,4.75,4.5,4.25
2020,Spring,Heinz College,"FITZSIMMONS, REBEKAH",rfitzsim,ISM,95718,PROFESSIONAL SPEAKNG,7.69,4.85,4.69,4.69,4.74,4.72,4.74,4.82,4.69,4.59
2020,Fall,Heinz College,"FITZSIMMONS, REBEKAH",rfitzsim,PPP,90718,STRTGC PRSNTN SKILLS,7.48,4.87,4.74,4.83,4.74,4.87,4.74,4.91,4.78,4.74
2020,Spring,Heinz College,"FORBES, JUSTIN",jwforbes,ISM,95883,ETH PENETRATION TSTG,14.18,4.41,4.29,4.41,4.35,4.41,4.24,4.65,4.35,4.47
2020,Fall,Heinz College,"FOWLER, SUMMER",summerf,ISM,95744,CYBRSEC POL & GOV I,8.3,4.61,4.61,4.57,4.13,4.7,4.57,4.87,4.52,4.39
2020,Spring,Heinz College,"FOWLER, SUMMER",summerf,ISM,95744,CYBRSEC POL & GOV I,8,4,3,3,3,4,4,5,4,4
2020,Spring,Heinz College,"FRANKO, GARY",gf0r,PPP,90782,MULTI MEDIA,8.33,4.67,4.67,4.63,4.56,4.67,4.67,4.78,4.33,4.56
2020,Spring,Heinz College,"FRANKO, GARY",gf0r,PPP,90801,MEDIA & COMM DSGN I,6.74,4.58,4.74,4.68,4.16,4.63,4.68,4.79,4.58,4.58
2020,Fall,Heinz College,"FRANKO, GARY",gf0r,PPP,90801,MEDIA & COMM DSGN I,6.5,4.63,4.75,4.75,4.63,4.63,4.63,4.63,4.63,4.75
2020,Summer,Heinz College,"FRANKO, GARY",gf0r,PPP,90801,MEDIA & COMM DSGN I,8.43,4.57,4.57,4.71,4.29,5,4.71,5,4.71,4.57
2020,Spring,Heinz College,"FRANKO, GARY",gf0r,PPP,90804,MEDIA & COMM DSGN II,6.36,4.82,4.82,5,4.27,4.73,4.73,5,4.82,4.82
2020,Spring,Heinz College,"GAYNOR, MARTIN",mgaynor,PPP,90902,PHD SEMINAR II,5.5,4.17,4.33,4.5,4.33,4.67,4.33,4.67,4.33,4.33
2020,Spring,Heinz College,"GHANI, RAYID",ghani,HC,94889,ML PUB POLCY LAB,11.33,4.89,4.78,4.78,4.67,5,4.78,5,4.67,4.56
2020,Spring,Heinz College,"GORANSON, CHRISTOPHER",cgoranso,HC,94802,GEOGRPHC INFO SYSTEM,8.6,4.8,4.4,4.55,4.5,4.7,4.7,4.95,4.6,4.55
2020,Fall,Heinz College,"GORANSON, CHRISTOPHER",cgoranso,HC,94866,DESIGN THINKING,5.64,4.64,4.64,4.57,4.43,4.64,4.5,4.86,4.71,4.64
2020,Fall,Heinz College,"GORANSON, CHRISTOPHER",cgoranso,HC,94870,TELL STORIES W DATA,12.39,4.56,4.67,4.61,4.5,4.61,4.61,4.56,4.44,4.44
2020,Spring,Heinz College,"GORANSON, CHRISTOPHER",cgoranso,HC,94870,TELL STORIES W DATA,10.12,4.63,4.43,4.44,4.4,4.65,4.59,4.88,4.45,4.45
2020,Summer,Heinz College,"GORANSON, CHRISTOPHER",cgoranso,HC,94870,TELL STORIES W DATA,13.25,4.25,4.06,4.13,4,4.38,4.25,4.25,4.19,4
2020,Spring,Heinz College,"GORANSON, CHRISTOPHER",cgoranso,PPP,90753,ADVANCED GIS,8.5,4.61,3.83,4,4.33,4.61,4.06,4.83,4.22,3.78
2020,Spring,Heinz College,"GORANSON, CHRISTOPHER",cgoranso,PPP,90783,POL INV LAB: CLIMATE,9.64,4.91,4.73,4.82,4.82,4.82,4.82,4.91,4.91,4.91
2020,Spring,Heinz College,"GOYAL, VIPUL",vgoyal1,ISM,95788,DEV BLOCKCHN USE CAS,11,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2020,Spring,Heinz College,"GRADECK, ROBERT",rgradeck,PROJECT,90739,SYSTMS SYNTHESIS I,12.5,4.5,4,4,4,4,4,4.5,4,4
2020,Spring,Heinz College,"GREEN, DANIEL",dtgreen,PROJECT,93890,CPSTN MNGMNT PRJ II,5.69,4.62,4.69,4.69,4.54,4.62,4.46,4.69,4.69,4.23
2020,Fall,Heinz College,"GRIGGS, DAVID",dgriggs,HC,94718,STRATG PRESENTN SKLS,8,5,5,4,5,5,5,5,5,5
2020,Spring,Heinz College,"GRUBER, STEFAN",smgruber,PPP,90805,ISS GLOBL URBANZTN,8,4,4,3.5,3,3.5,3.5,4,4,4
2020,Spring,Heinz College,"HAGGAG, KAREEM",khaggag,PPP,90892,BEHAV ECON POVTY DEV,7,5,5,4.67,4.67,4.67,4.67,4.67,4.67,4.67
2020,Summer,Heinz College,"HANNIGAN, MATTHEW",mgh2,HC,94824,CRTG RESLTS ORNT PRG,8.6,4.8,4.5,4.6,4.7,4.6,4.5,4.7,4.6,4.4
2020,Spring,Heinz College,"HAVILAND, AMELIA",amelia,PPP,90823,PROGRAM EVALUATION,9.54,4.89,4.64,4.71,4.61,4.89,4.75,4.79,4.82,4.68
2020,Summer,Heinz College,"HERR, CHRISTOPHER",cherr2,ISM,95884,NETWORK DEFENSES,6.5,5,4.5,4,4,4,4.5,4,4.5,4.5
2020,Fall,Heinz College,"HERR, CHRISTOPHER",cherr2,ISM,95884,NETWORK DEFENSES,8.65,4.25,4.5,4.2,4.05,4.2,3.95,4.65,4.05,4.05
2020,Spring,Heinz College,"HERR, CHRISTOPHER",cherr2,PROJECT,95720,INFO SYSTEMS PROJECT,8,4,4,4.5,4.5,4,4.5,4.5,4,4.5
2020,Spring,Heinz College,"HERSHEY, TINA",thershey,PPP,90832,HEALTH LAW,5.75,4.25,4.75,4.58,3.83,4.75,4.58,4.75,4.5,4.33
2020,Spring,Heinz College,"HONIG, LARRY",lhonig,HC,94886,ADV ROBT PROC AUTMN,8,4.86,4.43,4.29,4.57,4.86,4.71,5,4.71,4.57
2020,Spring,Heinz College,"HUNTER, GERALD",geraldh,HC,94827,SAS FOR PUBLIC POLCY,8.86,4.57,4.5,4.54,4.29,4.5,4.57,4.86,4.5,4.5
2020,Fall,Heinz College,"HUNTER, JENNIFER",jlhunter,ISM,95796,STATS FOR IT MANAGER,8.34,4.07,4,4.03,3.72,4,3.79,4.34,3.83,3.79
2020,Fall,Heinz College,"HUNTER, JENNIFER",jlhunter,PPP,90777,INTERMEDIATE STATS,10.74,4.39,4.22,4.22,4,4.06,4.11,4.61,4.06,3.33
2020,Fall,Heinz College,"HYATT, KIM",khyatt,HC,94701,BUSINESS WRITING,7.25,4.92,4.92,4.92,4.96,4.87,4.79,5,4.92,4.71
2020,Spring,Heinz College,"HYATT, KIM",khyatt,ISM,95717,WRTG INF SYS MGT,7.14,4.57,4.57,4.14,4.71,4.29,4.14,4.43,4.43,4.43
2020,Summer,Heinz College,"HYATT, KIM",khyatt,PMP,91717,BUS WRTG FOR LEADERS,6.69,4.81,4.56,4.56,4.56,4.63,4.5,4.88,4.69,4.56
2020,Spring,Heinz College,"HYATT, KIM",khyatt,PPP,90718,STRTGC PRSNTN SKILLS,5.93,4.66,4.55,4.66,4.53,4.63,4.52,4.52,4.52,4.48
2020,Spring,Heinz College,"IGOCHE, DIANE",digoche,ISM,95791,DATA MINING,9.65,3.52,3.24,3.33,3.06,3.46,3.06,4.4,2.94,2.9
2020,Spring,Heinz College,"IMAS, ALEX",aimas,PPP,90880,BEHAVIORAL ECONOMICS,10,4.33,4,4.33,3.67,4.33,4.33,4.67,4.33,4.33
2020,Spring,Heinz College,"JHA, AKSHAYA",akshayaj,HC,94834,APPL ECONOMETRICS I,8.58,4.14,3.68,3.89,3.54,3.92,3.14,4.62,3.41,3.49
2020,Spring,Heinz College,"JHA, AKSHAYA",akshayaj,HC,94835,APPL ECONOMETRICS II,9.4,4.43,4.19,4.19,3.79,4.41,4.06,4.72,4.02,3.89
2020,Spring,Heinz College,"JHA, AKSHAYA",akshayaj,PPP,90907,ECNMTRC THEO & MTHD,10.31,4.62,4,4.38,3.77,4.46,4.62,4.62,4.31,4.23
2020,Spring,Heinz College,"JOHNSON, KYLE",kljohnso,ISM,95865,UNSTRUC DATA ANALY,21,2.88,2.88,2.88,2.88,3.13,2.88,3.75,3,2.63
2020,Fall,Heinz College,"JORDAN, JAMES",jfjordan,PPP,90436,HEALTH SYSTEMS,8,4,4,4,5,4,4,5,4,4
2020,Spring,Heinz College,"JORDAN, JAMES",jfjordan,PPP,90725,MANAGEMENT ACCTG,10.27,4.03,3.88,3.97,3.52,4.12,3.39,4.27,3.52,3.33
2020,Fall,Heinz College,"JORDAN, JAMES",jfjordan,PPP,90836,HEALTH SYSTEMS,6.13,4.25,3.5,3.69,3.69,3.88,3.44,4.56,3.63,3.63
2020,Spring,Heinz College,"KAMBIC, DANIEL",dkambic,PROJECT,95720,INFO SYSTEMS PROJECT,20.75,3.75,3.5,3.75,4.5,4.5,4.75,4.25,4,4.25
2020,Spring,Heinz College,"KNAUER, JOSHUA",jk71,HC,94840,DATAPRENTRPRNSHP,7,4.5,3.83,4.33,4.33,4.67,4.17,4.67,4.17,4.17
2020,Fall,Heinz College,"KOENIG, FELIX",fkoenig,PPP,90712,QUAT ANL INC INEQLTY,8.17,4.28,3.67,4.11,3.39,4.5,4.28,4.56,4.22,3.89
2020,Spring,Heinz College,"KOWALSKY, CHRISTOPHER",ck0t,PROJECT,95720,INFO SYSTEMS PROJECT,15.2,4.8,4.8,5,4.6,5,4.4,5,4.8,4.6
2020,Fall,Heinz College,"KRACKHARDT, DAVID",krack,HC,94700,ORGNZTNL DSGN & IMPL,6.57,4.37,4.19,4.35,3.65,4.49,4.47,4.44,4.42,4.26
2020,Fall,Heinz College,"KRUMBHAAR, GEORGE",georgekr,PPP,90788,FINANCE THE PUB GOOD,5.5,4.67,3.83,4.42,4.33,4.75,4.58,4.75,4.67,4.25
2020,Summer,Heinz College,"KURLAND, KRISTEN",kurland,HC,94802,GEOGRPHC INFO SYSTEM,13.33,4.87,4.71,4.93,4.67,4.73,4.8,4.93,4.73,4.8
2020,Spring,Heinz College,"KURLAND, KRISTEN",kurland,PPP,90834,HEALTH CARE GIS,9.59,4.59,4.59,4.53,4.18,4.59,4.29,4.76,4.47,4.59
2020,Spring,Heinz College,"KURLAND, KRISTEN",kurland,PROJECT,90739,SYSTMS SYNTHESIS I,13.5,5,5,5,5,5,4.67,5,5,4.83
2020,Spring,Heinz College,"LABASH, STEFAN",clabash,HC,94803,CONSULTNG LAB,8.38,3.63,3.25,3.75,3.13,3.88,3.88,3.5,3.38,3.38
2020,Spring,Heinz College,"LABASH, STEFAN",clabash,ISM,95718,PROFESSIONAL SPEAKNG,7.17,4.89,4.75,4.78,4.89,4.81,4.81,4.83,4.81,4.75
2020,Fall,Heinz College,"LABASH, STEFAN",clabash,ISM,95718,PROFESSIONAL SPEAKNG,6.5,5,5,5,4.9,5,4.7,5,5,4.9
